Lead,Genre,Plot
Vijay,"Action, Crime, Drama, Thriller","An alcoholic professor is enrolled to teach at a juvenile facility, unbeknownst to him. He soon clashes with a ruthless gangster, who uses the children as scapegoats for his crimes."
Vijay,"Action, Thriller","After years of successful operations, an elite agent suddenly retires, choosing a quiet, ordinary life. However, when a past mission comes back to haunt him, he reunites with his team to prevent a catastrophic disaster."
Vijay,"Action, Crime, Drama, Thriller","DCP Vijaya Kumar goes into hiding to bring up his daughter in a safe environment. However, after her life is threatened by deadly gangsters, he must face his past to protect his daughter."
Vijay,"Action, Drama, Political Drama","An NRI businessman returns home and learns about the practice of illegal voting. When he decides to investigate the matter, he finds himself pitted against two corrupt politicians"
Vijay,"Action, Crime, Drama, Thriller, Gangster","Things start to take an awry turn for a mild-mannered cafe owner, who gets caught in the crosshairs of a drug cartel."
Vijay,"Action, Thriller","Kathiresan, who escapes from prison, accidentally meets his lookalike, Jeeva, who gets shot by criminals. Kathiresan masquerades as Jeeva in order to save himself, but it turns him into a crusader."
Vijay,"Action, Crime, Thriller",An army officer sets out to save the people of his country when he learns that an entire network of terrorists are operating in the city and are planning to carry out multiple terror attacks.
Vijay,"Action, Crime, Thriller","Tamizh, a hardened criminal who does dirty jobs for money, falls in love with Shruthi, a charming girl, who hates his violent nature. His true purpose and identity are revealed after a turn of events."
Vijay,"Action, Drama, Romance, Sport","Velu, an aspiring Kabaddi player, is in Madurai to participate in one of the regional matches when he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her wishes."
Vijay,"Action, Drama, Sport","Michael, an aggressive young man, gives up his dream of becoming a footballer after his father's murder. However, a friend convinces him to coach a women's football team and turn his life around."
Vijay,"Action, Comedy, Drama","When his terminally ill father leaves him in charge of his business conglomerate, a prodigal son must prove his mettle and reunite his broken family."
Vijay,"Action, Comedy, Thriller, Crime","Former RAW agent Veera must face his fears when a terrorist organisation holds him hostage in a mall along with other visitors and demands the release of their leader, who was captured by Veera."
Ajith,"Action, Thriller","A former counter-terrorism agent undertakes a special mission. However, he is betrayed by his friends who work for a secret agency and is accused of extremely treasonous acts."
Ajith,"Action, Drama","Thookku Durai, a chieftain, gets separated from his wife, Niranjana, after their daughter, Swetha, gets injured during a fight. Years later, he tries to protect Swetha without revealing his identity."
Ajith,"Action, Comedy, Drama, Romance","Vinaayagam, an honest man, uses violence to settle disputes but decides to mend his ways for his lover's sake. Pandemonium ensues when he learns of a gang of rowdies following his lover's family."
Ajith,"Action, Drama","Ganesh, a taxi driver, leads a peaceful life. One day, upon helping the police seize three criminals, he incurs the wrath of a criminal network, following which his real identity is revealed."
Ajith,"Action, Crime, Drama, Thriller","A city witnesses a spike in its crime rate due to the nefarious activities of a notorious motorcycle club. When things get out of hand, it is up to Arjun, a police officer, to restore law and order."
Ajith,"Action, Crime, Thriller",Inspector Vinayak is suspended after he lets a smuggler escape. He then meets a group of men who plan to whisk away 500 crore belonging to a gangster. He promises to help them for a share in the loot.
Ajith,"Action, Crime, Thriller, Heist","A group of gangsters plot to steal money from a bank. However, when they execute their plan, they discover that a mysterious man already hijacked the bank."
Ajith,"Action, Crime, Drama, Thriller","Satyadeva, a virtuous policeman, marries the single mother of a girl. After losing his wife, with his step-daughter in tow, he sets out to find the ones responsible for his beloved's death."
Ajith,"Action, Thriller","A married couple's trip takes an unsettling turn when the wife goes missing, prompting the husband's frantic search while an unknown villain creates obstacles."
Ajith,"Action, Drama, Mystery, Thriller","A man, along with a computer hacker, sets off on a mission to uncover a government scandal. As the dark secrets begin to tumble out, the duo faces dangerous consequences from the people in power."
Ajith,"Action, Crime, Thriller","When an international gangster, David Billa, is killed, a police officer picks his look-alike to infiltrate the gang. Meanwhile, a woman police officer also infiltrates the gang with her own agenda."
Rajini,"Action, Comedy, Thriller, Crime","Muthuvel Pandian, a retired prison guard, sets out on a quest for revenge after his son goes missing while investigating a smuggling case."
Rajini,"Action, AI, Sci-Fi, Thriller","Vaseegaran, a brilliant scientist, builds Chitti, a unique robot, who is programmed to protect mankind and also feel human emotions. Problems arise when Chitti falls in love with his girlfriend."
Rajini,"Action, AI, Sci-Fi, Thriller","When mobiles start flying from people's hands, Dr Vaseegaran and his robot Nila are asked to help. However, due to Pakshi Rajan having a hand in this, the two have to reinstate Chitti to defeat him."
Rajini,"Action, Comedy, Drama","A man loves his younger sister dearly and does everything to make her happy. When she elopes with her lover to Kolkata, he goes to great lengths to protect her from the clutches of an evil gangster."
Rajini,"Action, Drama","In a bid to save his best friend's son Anwar, hostel warden Kaali goes against local goons. However, everything goes haywire when he is forced to face his past."
Rajini,"Action, Crime, Thriller, Cop","Aaditya, the commissioner of Mumbai Police, sets out to catch Ajay, a drug peddler. However, he uncovers a deeper controversy linked to an international drug lord and must mete out justice."
Rajini,"Action, Crime, Drama, Cop",Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
Rajini,"Action, Crime, Drama, Thriller, Gangster","When Kabali raises his voice against the oppression faced by Tamil labourers in Malaysia, he is imprisoned for 25 years. After being released, he seeks revenge on the ones who wronged him."
Rajini,"Action, Crime, Drama","Karikaalan consistently fights to keep the people of Dharavi, a slum in Mumbai, safe from the clutches of mighty politicians and the land mafia don, Hari Dhadha."
Rajini,"Action, Drama, Political Drama",A software engineer arrives in India to serve the nation and invest in the country's welfare. A few corrupt officials and politicians try to stop him while he tries to overcome the obstacles.
Rajini,"Action, Comedy, Drama","Lingaa, a petty thief, turns over a new leaf after realising the role his grandfather played in building a dam for the villagers. Then, he dedicates his life towards saving it from a corrupt minister."
